Sample	SeqClass	NumIssues	ClassLength	IssueLength	IssueType
200085	PAR2	0	322389	0	ERRSTRUCT
200085	SAT	0	2091806	0	ERRSTRUCT
200085	TEL	0	7483	0	ERRSTRUCT
200085	UNASSIGNED	0	416	0	ERRSTRUCT
200085	XDR	0	8668504	0	ERRSTRUCT
200085	XTR	0	3403231	0	ERRSTRUCT
200085	AMPL	1	9520425	7500	NGAP
200085	CEN-DYZ3	0	329678	0	NGAP
200085	DYZ19	0	403833	0	NGAP
200085	HET	0	24629052	0	NGAP
200085	OTHER	0	375946	0	NGAP
200085	PAR1	1	2681488	100000	NGAP
200085	PAR2	0	322389	0	NGAP
200085	SAT	0	2091806	0	NGAP
200085	TEL	0	7483	0	NGAP
200085	UNASSIGNED	0	416	0	NGAP
200085	XDR	0	8668504	0	NGAP
200085	XTR	0	3403231	0	NGAP
NA12877	AMPL	0	9791647	0	ERRSTRUCT
NA12877	CEN-DYZ3	0	358627	0	ERRSTRUCT
NA12877	DYZ19	0	400080	0	ERRSTRUCT
NA12877	HET	0	23779306	0	ERRSTRUCT
NA12877	OTHER	0	375949	0	ERRSTRUCT
NA12877	PAR1	0	2310157	0	ERRSTRUCT
NA12877	PAR2	0	331102	0	ERRSTRUCT
NA12877	SAT	0	2071374	0	ERRSTRUCT
NA12877	TEL	0	12840	0	ERRSTRUCT
NA12877	UNASSIGNED	0	416	0	ERRSTRUCT
NA12877	XDR	0	8668608	0	ERRSTRUCT
NA12877	XTR	0	3403596	0	ERRSTRUCT
NA12877	AMPL	0	9791647	0	NGAP
NA12877	CEN-DYZ3	0	358627	0	NGAP
NA12877	DYZ19	0	400080	0	NGAP
NA12877	HET	0	23779306	0	NGAP
NA12877	OTHER	0	375949	0	NGAP
NA12877	PAR1	1	2310157	100000	NGAP
NA12877	PAR2	0	331102	0	NGAP
NA12877	SAT	0	2071374	0	NGAP
NA12877	TEL	0	12840	0	NGAP
NA12877	UNASSIGNED	0	416	0	NGAP
NA12877	XDR	0	8668608	0	NGAP
NA12877	XTR	0	3403596	0	NGAP
NA12882	AMPL	0	9791588	0	ERRSTRUCT
NA12882	CEN-DYZ3	0	347053	0	ERRSTRUCT
NA12882	DYZ19	0	400080	0	ERRSTRUCT
NA12882	HET	0	23748905	0	ERRSTRUCT
NA12882	OTHER	0	375946	0	ERRSTRUCT
NA12882	PAR1	0	2423386	0	ERRSTRUCT
NA12882	PAR2	0	331095	0	ERRSTRUCT
NA12882	SAT	0	2071356	0	ERRSTRUCT
NA12882	TEL	0	19220	0	ERRSTRUCT
NA12882	UNASSIGNED	0	416	0	ERRSTRUCT
NA12882	XDR	0	8668563	0	ERRSTRUCT
NA12882	XTR	0	3403567	0	ERRSTRUCT
NA12882	AMPL	0	9791588	0	NGAP
NA12882	CEN-DYZ3	0	347053	0	NGAP
NA12882	DYZ19	0	400080	0	NGAP
NA12882	HET	0	23748905	0	NGAP
NA12882	OTHER	0	375946	0	NGAP
NA12882	PAR1	0	2423386	0	NGAP
NA12882	PAR2	0	331095	0	NGAP
NA12882	SAT	0	2071356	0	NGAP
NA12882	TEL	0	19220	0	NGAP
NA12882	UNASSIGNED	0	416	0	NGAP
NA12882	XDR	0	8668563	0	NGAP
NA12882	XTR	0	3403567	0	NGAP
NA12883	AMPL	0	9791552	0	ERRSTRUCT
NA12883	CEN-DYZ3	0	358627	0	ERRSTRUCT
NA12883	DYZ19	0	400080	0	ERRSTRUCT
NA12883	HET	0	23862214	0	ERRSTRUCT
NA12883	OTHER	0	375948	0	ERRSTRUCT
NA12883	PAR1	0	2423326	0	ERRSTRUCT
NA12883	PAR2	0	331092	0	ERRSTRUCT
NA12883	SAT	0	2071355	0	ERRSTRUCT
NA12883	TEL	0	13366	0	ERRSTRUCT
NA12883	UNASSIGNED	0	416	0	ERRSTRUCT
NA12883	XDR	0	8668559	0	ERRSTRUCT
NA12883	XTR	0	3403580	0	ERRSTRUCT
NA12883	AMPL	0	9791552	0	NGAP
NA12883	CEN-DYZ3	0	358627	0	NGAP
NA12883	DYZ19	0	400080	0	NGAP
NA12883	HET	1	23862214	100000	NGAP
NA12883	OTHER	0	375948	0	NGAP
NA12883	PAR1	0	2423326	0	NGAP
NA12883	PAR2	0	331092	0	NGAP
NA12883	SAT	0	2071355	0	NGAP
NA12883	TEL	0	13366	0	NGAP
NA12883	UNASSIGNED	0	416	0	NGAP
NA12883	XDR	0	8668559	0	NGAP
NA12883	XTR	0	3403580	0	NGAP
NA12884	AMPL	0	9791696	0	ERRSTRUCT
NA12884	CEN-DYZ3	0	358627	0	ERRSTRUCT
NA12884	DYZ19	0	400080	0	ERRSTRUCT
NA12884	HET	0	23773849	0	ERRSTRUCT
NA12884	OTHER	0	375950	0	ERRSTRUCT
NA12884	PAR1	0	1340097	0	ERRSTRUCT
NA12884	PAR2	0	319095	0	ERRSTRUCT
NA12884	SAT	0	2071381	0	ERRSTRUCT
NA12884	UNASSIGNED	0	446	0	ERRSTRUCT
NA12884	XDR	0	8668614	0	ERRSTRUCT
NA12884	XTR	0	3403597	0	ERRSTRUCT
NA12884	AMPL	0	9791696	0	NGAP
NA12884	CEN-DYZ3	0	358627	0	NGAP
NA12884	DYZ19	0	400080	0	NGAP
NA12884	HET	0	23773849	0	NGAP
NA12884	OTHER	0	375950	0	NGAP
NA12884	PAR1	0	1340097	0	NGAP
NA12884	PAR2	0	319095	0	NGAP
NA12884	SAT	0	2071381	0	NGAP
NA12884	UNASSIGNED	0	446	0	NGAP
NA12884	XDR	0	8668614	0	NGAP
NA12884	XTR	0	3403597	0	NGAP
NA12886	AMPL	0	9791600	0	ERRSTRUCT
NA12886	CEN-DYZ3	0	358627	0	ERRSTRUCT
NA12886	DYZ19	0	400080	0	ERRSTRUCT
NA12886	HET	0	23778467	0	ERRSTRUCT
NA12886	OTHER	0	375943	0	ERRSTRUCT
NA12886	PAR1	0	2421920	0	ERRSTRUCT
NA12886	PAR2	0	331101	0	ERRSTRUCT
NA12886	SAT	0	2071370	0	ERRSTRUCT
NA12886	TEL	0	19302	0	ERRSTRUCT
NA12886	UNASSIGNED	0	416	0	ERRSTRUCT
NA12886	XDR	0	8668546	0	ERRSTRUCT
NA12886	XTR	0	3403578	0	ERRSTRUCT
NA12886	AMPL	0	9791600	0	NGAP
NA12886	CEN-DYZ3	0	358627	0	NGAP
NA12886	DYZ19	0	400080	0	NGAP
NA12886	HET	0	23778467	0	NGAP
NA12886	OTHER	0	375943	0	NGAP
NA12886	PAR1	0	2421920	0	NGAP
NA12886	PAR2	0	331101	0	NGAP
NA12886	SAT	0	2071370	0	NGAP
NA12886	TEL	0	19302	0	NGAP
NA12886	UNASSIGNED	0	416	0	NGAP
NA12886	XDR	0	8668546	0	NGAP
NA12886	XTR	0	3403578	0	NGAP
HG00096	AMPL	0	9818857	0	ERRSTRUCT
HG00096	CEN-DYZ3	0	323712	0	ERRSTRUCT
HG00096	DYZ19	0	406445	0	ERRSTRUCT
HG00096	HET	4	25071797	18182	ERRSTRUCT
HG00096	OTHER	0	375962	0	ERRSTRUCT
HG00096	PAR1	0	2420508	0	ERRSTRUCT
HG00096	PAR2	0	332678	0	ERRSTRUCT
HG00096	SAT	0	2069098	0	ERRSTRUCT
HG00096	TEL	0	7271	0	ERRSTRUCT
HG00096	UNASSIGNED	0	416	0	ERRSTRUCT
HG00096	XDR	0	8668531	0	ERRSTRUCT
HG00096	XTR	0	3403200	0	ERRSTRUCT
HG00096	AMPL	0	9818857	0	NGAP
HG00096	CEN-DYZ3	0	323712	0	NGAP
HG00096	DYZ19	0	406445	0	NGAP
HG00096	HET	4	25071797	233555	NGAP
HG00096	OTHER	0	375962	0	NGAP
HG00096	PAR1	0	2420508	0	NGAP
HG00096	PAR2	0	332678	0	NGAP
HG00096	SAT	0	2069098	0	NGAP
HG00096	TEL	0	7271	0	NGAP
HG00096	UNASSIGNED	0	416	0	NGAP
HG00096	XDR	0	8668531	0	NGAP
HG00096	XTR	0	3403200	0	NGAP
HG00358	AMPL	0	7889811	0	ERRSTRUCT
HG00358	CEN-DYZ3	0	1093555	0	ERRSTRUCT
HG00358	DYZ19	0	353659	0	ERRSTRUCT
HG00358	HET	0	32212610	0	ERRSTRUCT
HG00358	OTHER	0	375989	0	ERRSTRUCT
HG00358	PAR1	0	2405769	0	ERRSTRUCT
HG00358	PAR2	0	331060	0	ERRSTRUCT
HG00358	SAT	0	2177427	0	ERRSTRUCT
HG00358	TEL	0	15793	0	ERRSTRUCT
HG00358	UNASSIGNED	0	180	0	ERRSTRUCT
HG00358	XDR	0	8668122	0	ERRSTRUCT
HG00358	XTR	0	3387386	0	ERRSTRUCT
HG00358	AMPL	0	7889811	0	NGAP
HG00358	CEN-DYZ3	0	1093555	0	NGAP
HG00358	DYZ19	0	353659	0	NGAP
HG00358	HET	0	32212610	0	NGAP
HG00358	OTHER	0	375989	0	NGAP
HG00358	PAR1	0	2405769	0	NGAP
HG00358	PAR2	0	331060	0	NGAP
HG00358	SAT	0	2177427	0	NGAP
HG00358	TEL	0	15793	0	NGAP
HG00358	UNASSIGNED	0	180	0	NGAP
HG00358	XDR	0	8668122	0	NGAP
HG00358	XTR	0	3387386	0	NGAP
HG00512	AMPL	0	9903950	0	ERRSTRUCT
HG00512	CEN-DYZ3	0	1101350	0	ERRSTRUCT
HG00512	DYZ19	0	282932	0	ERRSTRUCT
HG00512	HET	0	53208020	0	ERRSTRUCT
HG00512	OTHER	0	375972	0	ERRSTRUCT
HG00512	PAR1	0	2458178	0	ERRSTRUCT
HG00512	PAR2	0	331185	0	ERRSTRUCT
HG00512	SAT	0	1977741	0	ERRSTRUCT
HG00512	TEL	0	5844	0	ERRSTRUCT
HG00512	UNASSIGNED	0	180	0	ERRSTRUCT
HG00512	XDR	0	8667360	0	ERRSTRUCT
HG00512	XTR	0	3407182	0	ERRSTRUCT
HG00512	AMPL	0	9903950	0	NGAP
HG00512	CEN-DYZ3	0	1101350	0	NGAP
HG00512	DYZ19	0	282932	0	NGAP
HG00512	HET	0	53208020	0	NGAP
HG00512	OTHER	0	375972	0	NGAP
HG00512	PAR1	0	2458178	0	NGAP
HG00512	PAR2	0	331185	0	NGAP
HG00512	SAT	0	1977741	0	NGAP
HG00512	TEL	0	5844	0	NGAP
HG00512	UNASSIGNED	0	180	0	NGAP
HG00512	XDR	0	8667360	0	NGAP
HG00512	XTR	0	3407182	0	NGAP
HG00731	AMPL	0	9829485	0	ERRSTRUCT
HG00731	CEN-DYZ3	0	364561	0	ERRSTRUCT
HG00731	DYZ19	0	392971	0	ERRSTRUCT
HG00731	HET	0	26790165	0	ERRSTRUCT
HG00731	OTHER	0	375947	0	ERRSTRUCT
HG00731	PAR1	0	2455874	0	ERRSTRUCT
HG00731	PAR2	0	331114	0	ERRSTRUCT
HG00731	SAT	0	2034763	0	ERRSTRUCT
HG00731	TEL	0	23851	0	ERRSTRUCT
HG00731	UNASSIGNED	0	416	0	ERRSTRUCT
HG00731	XDR	0	8668559	0	ERRSTRUCT
HG00731	XTR	0	3403241	0	ERRSTRUCT
HG00731	AMPL	0	9829485	0	NGAP
HG00731	CEN-DYZ3	0	364561	0	NGAP
HG00731	DYZ19	0	392971	0	NGAP
HG00731	HET	0	26790165	0	NGAP
HG00731	OTHER	0	375947	0	NGAP
HG00731	PAR1	0	2455874	0	NGAP
HG00731	PAR2	0	331114	0	NGAP
HG00731	SAT	0	2034763	0	NGAP
HG00731	TEL	0	23851	0	NGAP
HG00731	UNASSIGNED	0	416	0	NGAP
HG00731	XDR	0	8668559	0	NGAP
HG00731	XTR	0	3403241	0	NGAP
HG01457	AMPL	0	9888309	0	ERRSTRUCT
HG01457	CEN-DYZ3	2	1055335	1000	ERRSTRUCT
HG01457	DYZ19	0	325271	0	ERRSTRUCT
HG01457	HET	2	23232217	60000	ERRSTRUCT
HG01457	OTHER	0	375981	0	ERRSTRUCT
HG01457	PAR1	0	2434114	0	ERRSTRUCT
HG01457	PAR2	0	332726	0	ERRSTRUCT
HG01457	SAT	0	2093589	0	ERRSTRUCT
HG01457	TEL	0	17409	0	ERRSTRUCT
HG01457	UNASSIGNED	0	180	0	ERRSTRUCT
HG01457	XDR	0	8655338	0	ERRSTRUCT
HG01457	XTR	0	3403090	0	ERRSTRUCT
HG01457	AMPL	0	9888309	0	NGAP
HG01457	CEN-DYZ3	1	1055335	100000	NGAP
HG01457	DYZ19	0	325271	0	NGAP
HG01457	HET	1	23232217	100000	NGAP
HG01457	OTHER	0	375981	0	NGAP
HG01457	PAR1	0	2434114	0	NGAP
HG01457	PAR2	0	332726	0	NGAP
HG01457	SAT	0	2093589	0	NGAP
HG01457	TEL	0	17409	0	NGAP
HG01457	UNASSIGNED	0	180	0	NGAP
HG01457	XDR	0	8655338	0	NGAP
HG01457	XTR	0	3403090	0	NGAP
HG01505	AMPL	0	9827322	0	ERRSTRUCT
HG01505	CEN-DYZ3	0	329336	0	ERRSTRUCT
HG01505	DYZ19	0	403311	0	ERRSTRUCT
HG01505	HET	0	24504261	0	ERRSTRUCT
HG01505	OTHER	0	375938	0	ERRSTRUCT
HG01505	PAR1	0	2460359	0	ERRSTRUCT
HG01505	PAR2	0	331098	0	ERRSTRUCT
HG01505	SAT	0	2036324	0	ERRSTRUCT
HG01505	TEL	0	32318	0	ERRSTRUCT
HG01505	UNASSIGNED	0	416	0	ERRSTRUCT
HG01505	XDR	0	8668518	0	ERRSTRUCT
HG01505	XTR	0	3403242	0	ERRSTRUCT
HG01505	AMPL	0	9827322	0	NGAP
HG01505	CEN-DYZ3	0	329336	0	NGAP
HG01505	DYZ19	0	403311	0	NGAP
HG01505	HET	0	24504261	0	NGAP
HG01505	OTHER	0	375938	0	NGAP
HG01505	PAR1	0	2460359	0	NGAP
HG01505	PAR2	0	331098	0	NGAP
HG01505	SAT	0	2036324	0	NGAP
HG01505	TEL	0	32318	0	NGAP
HG01505	UNASSIGNED	0	416	0	NGAP
HG01505	XDR	0	8668518	0	NGAP
HG01505	XTR	0	3403242	0	NGAP
HG01596	AMPL	0	9886533	0	ERRSTRUCT
HG01596	CEN-DYZ3	0	882728	0	ERRSTRUCT
HG01596	DYZ19	0	368012	0	ERRSTRUCT
HG01596	HET	0	41703746	0	ERRSTRUCT
HG01596	OTHER	0	375422	0	ERRSTRUCT
HG01596	PAR1	0	2429718	0	ERRSTRUCT
HG01596	PAR2	0	331105	0	ERRSTRUCT
HG01596	SAT	0	1915037	0	ERRSTRUCT
HG01596	TEL	0	14282	0	ERRSTRUCT
HG01596	UNASSIGNED	0	180	0	ERRSTRUCT
HG01596	XDR	0	8668441	0	ERRSTRUCT
HG01596	XTR	0	3401022	0	ERRSTRUCT
HG01596	AMPL	0	9886533	0	NGAP
HG01596	CEN-DYZ3	0	882728	0	NGAP
HG01596	DYZ19	0	368012	0	NGAP
HG01596	HET	0	41703746	0	NGAP
HG01596	OTHER	0	375422	0	NGAP
HG01596	PAR1	0	2429718	0	NGAP
HG01596	PAR2	0	331105	0	NGAP
HG01596	SAT	0	1915037	0	NGAP
HG01596	TEL	0	14282	0	NGAP
HG01596	UNASSIGNED	0	180	0	NGAP
HG01596	XDR	0	8668441	0	NGAP
HG01596	XTR	0	3401022	0	NGAP
HG01890	AMPL	0	9952613	0	ERRSTRUCT
HG01890	CEN-DYZ3	0	429707	0	ERRSTRUCT
HG01890	DYZ19	0	320964	0	ERRSTRUCT
HG01890	HET	0	17781457	0	ERRSTRUCT
HG01890	OTHER	0	388665	0	ERRSTRUCT
HG01890	PAR1	0	2429278	0	ERRSTRUCT
HG01890	PAR2	0	332206	0	ERRSTRUCT
HG01890	SAT	0	2747575	0	ERRSTRUCT
HG01890	TEL	0	26040	0	ERRSTRUCT
HG01890	UNASSIGNED	0	180	0	ERRSTRUCT
HG01890	XDR	0	8690306	0	ERRSTRUCT
HG01890	XTR	0	3387515	0	ERRSTRUCT
HG01890	AMPL	0	9952613	0	NGAP
HG01890	CEN-DYZ3	0	429707	0	NGAP
HG01890	DYZ19	0	320964	0	NGAP
HG01890	HET	0	17781457	0	NGAP
HG01890	OTHER	0	388665	0	NGAP
HG01890	PAR1	0	2429278	0	NGAP
HG01890	PAR2	0	332206	0	NGAP
HG01890	SAT	0	2747575	0	NGAP
HG01890	TEL	0	26040	0	NGAP
HG01890	UNASSIGNED	0	180	0	NGAP
HG01890	XDR	0	8690306	0	NGAP
HG01890	XTR	0	3387515	0	NGAP
HG02011	AMPL	0	9937561	0	ERRSTRUCT
HG02011	CEN-DYZ3	0	1437108	0	ERRSTRUCT
HG02011	DYZ19	0	243288	0	ERRSTRUCT
HG02011	HET	0	23259663	0	ERRSTRUCT
HG02011	OTHER	0	375995	0	ERRSTRUCT
HG02011	PAR1	0	2452496	0	ERRSTRUCT
HG02011	PAR2	0	331222	0	ERRSTRUCT
HG02011	SAT	0	1949966	0	ERRSTRUCT
HG02011	TEL	0	22677	0	ERRSTRUCT
HG02011	UNASSIGNED	0	180	0	ERRSTRUCT
HG02011	XDR	0	8667318	0	ERRSTRUCT
HG02011	XTR	0	3387274	0	ERRSTRUCT
HG02011	AMPL	0	9937561	0	NGAP
HG02011	CEN-DYZ3	1	1437108	1500	NGAP
HG02011	DYZ19	0	243288	0	NGAP
HG02011	HET	0	23259663	0	NGAP
HG02011	OTHER	0	375995	0	NGAP
HG02011	PAR1	0	2452496	0	NGAP
HG02011	PAR2	0	331222	0	NGAP
HG02011	SAT	0	1949966	0	NGAP
HG02011	TEL	0	22677	0	NGAP
HG02011	UNASSIGNED	0	180	0	NGAP
HG02011	XDR	0	8667318	0	NGAP
HG02011	XTR	0	3387274	0	NGAP
HG02492	AMPL	0	9852477	0	ERRSTRUCT
HG02492	CEN-DYZ3	0	640778	0	ERRSTRUCT
HG02492	DYZ19	0	63500	0	ERRSTRUCT
HG02492	HET	0	23831923	0	ERRSTRUCT
HG02492	OTHER	0	375998	0	ERRSTRUCT
HG02492	PAR1	7	2406367	21000	ERRSTRUCT
HG02492	PAR2	0	332705	0	ERRSTRUCT
HG02492	SAT	0	1916856	0	ERRSTRUCT
HG02492	TEL	0	15449	0	ERRSTRUCT
HG02492	UNASSIGNED	0	180	0	ERRSTRUCT
HG02492	XDR	0	8666674	0	ERRSTRUCT
HG02492	XTR	0	3387272	0	ERRSTRUCT
HG02492	AMPL	0	9852477	0	NGAP
HG02492	CEN-DYZ3	0	640778	0	NGAP
HG02492	DYZ19	0	63500	0	NGAP
HG02492	HET	0	23831923	0	NGAP
HG02492	OTHER	0	375998	0	NGAP
HG02492	PAR1	0	2406367	0	NGAP
HG02492	PAR2	0	332705	0	NGAP
HG02492	SAT	0	1916856	0	NGAP
HG02492	TEL	0	15449	0	NGAP
HG02492	UNASSIGNED	0	180	0	NGAP
HG02492	XDR	0	8666674	0	NGAP
HG02492	XTR	0	3387272	0	NGAP
HG02554	AMPL	2	9667062	1500	ERRSTRUCT
HG02554	CEN-DYZ3	0	1517547	0	ERRSTRUCT
HG02554	DYZ19	0	239790	0	ERRSTRUCT
HG02554	HET	0	25946885	0	ERRSTRUCT
HG02554	OTHER	0	376013	0	ERRSTRUCT
HG02554	PAR1	1	2400413	1000	ERRSTRUCT
HG02554	PAR2	0	332808	0	ERRSTRUCT
HG02554	SAT	0	2053635	0	ERRSTRUCT
HG02554	TEL	0	10354	0	ERRSTRUCT
HG02554	UNASSIGNED	0	180	0	ERRSTRUCT
HG02554	XDR	0	8668986	0	ERRSTRUCT
HG02554	XTR	0	3387317	0	ERRSTRUCT
HG02554	AMPL	1	9667062	7500	NGAP
HG02554	CEN-DYZ3	0	1517547	0	NGAP
HG02554	DYZ19	0	239790	0	NGAP
HG02554	HET	0	25946885	0	NGAP
HG02554	OTHER	0	376013	0	NGAP
HG02554	PAR1	0	2400413	0	NGAP
HG02554	PAR2	0	332808	0	NGAP
HG02554	SAT	0	2053635	0	NGAP
HG02554	TEL	0	10354	0	NGAP
HG02554	UNASSIGNED	0	180	0	NGAP
HG02554	XDR	0	8668986	0	NGAP
HG02554	XTR	0	3387317	0	NGAP
HG02666	AMPL	0	9974622	0	ERRSTRUCT
HG02666	CEN-DYZ3	0	897257	0	ERRSTRUCT
HG02666	DYZ19	0	270698	0	ERRSTRUCT
HG02666	HET	0	26059959	0	ERRSTRUCT
HG02666	OTHER	0	388652	0	ERRSTRUCT
HG02666	PAR1	5	2429430	38000	ERRSTRUCT
HG02666	PAR2	0	332822	0	ERRSTRUCT
HG02666	SAT	0	2315066	0	ERRSTRUCT
HG02666	TEL	0	13279	0	ERRSTRUCT
HG02666	UNASSIGNED	0	180	0	ERRSTRUCT
HG02666	XDR	0	8667299	0	ERRSTRUCT
HG02666	XTR	0	3418826	0	ERRSTRUCT
HG02666	AMPL	0	9974622	0	NGAP
HG02666	CEN-DYZ3	0	897257	0	NGAP
HG02666	DYZ19	0	270698	0	NGAP
HG02666	HET	0	26059959	0	NGAP
HG02666	OTHER	0	388652	0	NGAP
HG02666	PAR1	0	2429430	0	NGAP
HG02666	PAR2	0	332822	0	NGAP
HG02666	SAT	0	2315066	0	NGAP
HG02666	TEL	0	13279	0	NGAP
HG02666	UNASSIGNED	0	180	0	NGAP
HG02666	XDR	0	8667299	0	NGAP
HG02666	XTR	0	3418826	0	NGAP
HG02953	AMPL	0	9604692	0	ERRSTRUCT
HG02953	CEN-DYZ3	0	1531168	0	ERRSTRUCT
HG02953	DYZ19	0	240033	0	ERRSTRUCT
HG02953	HET	0	23207293	0	ERRSTRUCT
HG02953	OTHER	0	375996	0	ERRSTRUCT
HG02953	PAR1	3	2745237	4000	ERRSTRUCT
HG02953	PAR2	0	332711	0	ERRSTRUCT
HG02953	SAT	0	2051093	0	ERRSTRUCT
HG02953	TEL	0	11772	0	ERRSTRUCT
HG02953	UNASSIGNED	0	180	0	ERRSTRUCT
HG02953	XDR	0	8668725	0	ERRSTRUCT
HG02953	XTR	0	3387327	0	ERRSTRUCT
HG02953	AMPL	1	9604692	7500	NGAP
HG02953	CEN-DYZ3	0	1531168	0	NGAP
HG02953	DYZ19	0	240033	0	NGAP
HG02953	HET	0	23207293	0	NGAP
HG02953	OTHER	0	375996	0	NGAP
HG02953	PAR1	1	2745237	100000	NGAP
HG02953	PAR2	0	332711	0	NGAP
HG02953	SAT	0	2051093	0	NGAP
HG02953	TEL	0	11772	0	NGAP
HG02953	UNASSIGNED	0	180	0	NGAP
HG02953	XDR	0	8668725	0	NGAP
HG02953	XTR	0	3387327	0	NGAP
HG03009	AMPL	0	9883086	0	ERRSTRUCT
HG03009	CEN-DYZ3	0	1572849	0	ERRSTRUCT
HG03009	DYZ19	0	269794	0	ERRSTRUCT
HG03009	HET	0	29709793	0	ERRSTRUCT
HG03009	OTHER	0	375986	0	ERRSTRUCT
HG03009	PAR1	0	2393463	0	ERRSTRUCT
HG03009	PAR2	0	331019	0	ERRSTRUCT
HG03009	SAT	0	2045409	0	ERRSTRUCT
HG03009	TEL	0	14537	0	ERRSTRUCT
HG03009	UNASSIGNED	0	180	0	ERRSTRUCT
HG03009	XDR	0	8668338	0	ERRSTRUCT
HG03009	XTR	0	3403007	0	ERRSTRUCT
HG03009	AMPL	0	9883086	0	NGAP
HG03009	CEN-DYZ3	0	1572849	0	NGAP
HG03009	DYZ19	0	269794	0	NGAP
HG03009	HET	0	29709793	0	NGAP
HG03009	OTHER	0	375986	0	NGAP
HG03009	PAR1	0	2393463	0	NGAP
HG03009	PAR2	0	331019	0	NGAP
HG03009	SAT	0	2045409	0	NGAP
HG03009	TEL	0	14537	0	NGAP
HG03009	UNASSIGNED	0	180	0	NGAP
HG03009	XDR	0	8668338	0	NGAP
HG03009	XTR	0	3403007	0	NGAP
HG03065	AMPL	0	11495624	0	ERRSTRUCT
HG03065	CEN-DYZ3	0	1362745	0	ERRSTRUCT
HG03065	DYZ19	0	314095	0	ERRSTRUCT
HG03065	HET	0	32902392	0	ERRSTRUCT
HG03065	OTHER	0	375975	0	ERRSTRUCT
HG03065	PAR1	1	2456463	1000	ERRSTRUCT
HG03065	PAR2	0	331123	0	ERRSTRUCT
HG03065	SAT	0	2113710	0	ERRSTRUCT
HG03065	TEL	0	11266	0	ERRSTRUCT
HG03065	UNASSIGNED	0	180	0	ERRSTRUCT
HG03065	XDR	0	8668726	0	ERRSTRUCT
HG03065	XTR	0	3387306	0	ERRSTRUCT
HG03065	AMPL	0	11495624	0	NGAP
HG03065	CEN-DYZ3	0	1362745	0	NGAP
HG03065	DYZ19	0	314095	0	NGAP
HG03065	HET	0	32902392	0	NGAP
HG03065	OTHER	0	375975	0	NGAP
HG03065	PAR1	0	2456463	0	NGAP
HG03065	PAR2	0	331123	0	NGAP
HG03065	SAT	0	2113710	0	NGAP
HG03065	TEL	0	11266	0	NGAP
HG03065	UNASSIGNED	0	180	0	NGAP
HG03065	XDR	0	8668726	0	NGAP
HG03065	XTR	0	3387306	0	NGAP
HG03248	AMPL	0	9911496	0	ERRSTRUCT
HG03248	CEN-DYZ3	0	837618	0	ERRSTRUCT
HG03248	DYZ19	0	454523	0	ERRSTRUCT
HG03248	HET	0	32416690	0	ERRSTRUCT
HG03248	OTHER	0	375976	0	ERRSTRUCT
